topic,name,keywords,count,priority
23,IHR capacity,"ihr, implementation, focal, committee, nfp",161,iven lebanon s second request   jee evaluation   highly recommended   country convenes regular meetings   ihr multisectoral committee  ihr technical committee  follow    development  ihr capacities develops yearly reports  ihr implementation  shares  reports   sectors including   council  ministers  per  ministerial decree reviews existing sops  develops generic procedures  coordination  sharing  information   ihr nfp  focal points   sectors establishes  information technology  platform accessible  relevant sectors  different administrative levels  report  share information  public health events occurring   country enhances awareness  ihr  m advocacy activities targeting different audiences  ensure commitment particularly among  non-health sector m expanded membership   ihr multisectoral  technical committees  include nongovernmental sectors  advisory members  oie   international atomic energy agency iaea m evaluating  functionality   ihr nfp m  national plan  action  accelerate implementation  ihr capacities  allocated budget  sectors relevant   implementation  ihr capacities
42,Improve labs,"laboratory, quality, network, diagnostic, reference",158,improve  laboratory referral system  transport specimens  districtregional laboratories  reference laboratories  developing guidelines  sops  improving  communication   reference laboratories  regional laboratories
30,Community engagement,"risk, communication, community, engagement, message",145,strengthen  evidence-base used  guide risk communication  establishing  ongoing research plan  includes m  comprehensive audience analysis  better understand  information needs   preferred channels   many communities  mongolia m  media study  communications channels  better understand  communities  reach  emergencies   ones  missed m  systematic approach  monitor  evaluate  effectiveness  risk communication activities among  public  affected communities following outbreaks  events  m  budget  testing risk communication plans  materials   public  affected communities  advance  emergencies
45,Personnel deployment SOPs,"medical, personnel, international, countermeasure, receive",137,develop sops  protocols  medical countermeasures  personnel deployment protocols  include criteria  sending  receiving medical countermeasures  well  personnel  procedures  fast track importation  medical countermeasures including procedures  potential tax exemption  medical countermeasures  emergency situations agreements  neighbouring countries  regional organizations   formalized  ensure mutual cross-border aid personnel  medical countermeasures
40,Chemical event response,"chemical, event, respond, decision, poison",132,establish  legally constituted national interministerial commission  chemical events   budgeted programme  work   purpose  inter alia m systematic collection  exchange  information  chemical events   management  regular analysis   information   view  learning  experience m evaluating  risks involved  chemical events  communicating   relevant decision makers  specific action m educating  public  improving  awareness  decision-makers  chemical risks  identification minimization  available actions  respond  emergencies  training  strengthening  human resources m organizing biennially simulation exercises  test national  regional capacities  identify  respond  chemical events
38,Multi-hazard plan,"plan, preparedness, contingency, result, initiate",129,develop  multihazard national public health emergency preparedness  response plan  plan   integrated   poe emergency plans moreover ihr-compliant air  sea plans  also come   plan  addition cross-border collaboration   considered   development   plan
49,Food safety mechanisms,"food, safety, foodborne, inspection, issue",127,strengthen  formalize  existing cross-sectoral interdepartmental mechanism  coordination  collaboration   food safety stakeholders  use  mechanism  m develop  national food safety strategy  plan based   existing food law m clarify standards processes roles  responsibilities   stakeholder throughout  food chain m ensure communication among agencies  food safety events   ihr core capacities   lebanese republic m support  establishment   national database  food establishments   available   stakeholders m institutionalize  current food safety campaign   moph m build capacity  food product traceability  recall    pose  risk  public health enhance  skills  food safety inspectors  continuous training support  diagnostic capability  laboratories dedicated  food safety
15,Emergency staff training,"train, staff, moh, surge, curriculum",125,establish  master roster   personnel within  moh   expected  perform emergency management roles   established ims structure  roster  include       considered permanent staff   pheoc  well  surge staff  across  moh   expected  fulfil  ims role  upon activation   pheoc see indicator r assess public health emergency management training records  identify  individual training needs still required   initial roster  personnel   position specific training  training  existing sops   ihr core capacities  viet nam
7,Simulation exercise,"exercise, test, simulation, term, provincial",118,replicating federal ihr nfp  ihr task force modalities ihr provincial focal points fps   complemented  multisectoral ihr task forcescommittees   provincesareas provincial ihr fps must also  available  provincial task forces  also meet   regular basis  clear terms  reference tested  least yearly  simulation modalities     national level  simulation scenarios may also include testing  linkages  provinces areas  national authorities  assets
36,Public and animal health collaboration,"health, worker, expedite, wildlife, effort",110,improve collaboration   public health animal health  environmental health sectors   one health platform  national  subnational levels
4,Data sharing platform,"information, share, exchange, formal, platform",109, develop pheoc infrastructure  information system human resources hardware software operational dataset data sources data management information sharing platform  information products  improve  availability accessibility quality timeliness  usefulness  emergency operations information
11,Prevent zoonotic disease spread,"disease, control, zoonotic, care, infection",106,  human sector implement actions  decrease antimicrobial consumption  quinolones ambulatory care improve management  respiratory tract infections ambulatory care improve prevention  management  urinary tract infections ambulatory hospital  residential care
9,Assessment capacity,"capacity, core, republic, organize, kingdom",105,increase  number  kyrgyz participants   f programme  kyrgyzstan  ensure state funding  students   ihr core capacities   kyrgyz republic
10,Immunization coverage,"improve, increase, coverage, immunization, district",100,maintain  improve measles immunization coverage   populations  particular hard--reach populations     remote areas indigenous populations  migrant groups    areas  lower coverage  achieve  target  
25,Integrated disease surveillance system,"system, surveillance, integrate, robust, warn",99,establish one robust integrated  inclusive routine disease surveillance system considering  bangladesh   number  sentinel-based surveillance systems  addition    national disease surveillance system    plausible   country conducts  -depth assessment   disease surveillance system  capture good lessons  best practices   view  establishing one robust integrated  inclusive routine disease surveillance system covering  public  private sectors  well    existing surveillance streams   country    tuberculosis malaria hiv aids etc  one integrated disease surveillance system rather  numerous fragmented ones will also ensure efficiency gains  assessment  review  existing coverage effectiveness  sensitivities   systems  detect  public health event reported early either   community   health facilities
2,Antibiotic stewardship,"animal, human, antimicrobial, environmental, wildlife",98,mohfw  clarify  complex cross-cutting requirements  antimicrobial resistance stewardship via   detailed situation analysis   issue identifying challenges  detailed next steps including specific actions    animal side prevent use  antimicrobial agents  poultry  fish  growth promoters use antimicrobials  animals   culture  sensitivity testing discourage use  antimicrobials  animals   prioritized  human use   humans enact enforce  follow- laws  prevention  sale  antimicrobials   counter without prescription ensure good manufacturing practices  thereby manufacture  good quality antimicrobials   manufacturers finalize  implement standard treatment guidelines stgs  infectious diseases finalize  national antibiotic policy
19,Public health training,"public, health, institute, medicine, custom",98,adopt  two-pronged strategy  sustain  maintain  needs   existing public health workforce   short term oman  formalize agreements   countries  ensure  regular training  nationals  critical public health areas including  f   long term establish  public health institution  will provide   sustainable approach  public health workforce development
17,Biosecurity committee,"biosafety, biosecurity, comprehensive, team, practice",96,establish  multisectoral biosafety  biosecurity committee  review  development  biosafety  biosecurity legislation   develop  biosafety  biosecurity programme  collaboration   biosafety  biosecurity team m assess biosafety  biosecurity training needs  develop training material m increase awareness  biosecurity  biosafety among  laboratory workforce
24,Real-time warning system,"report, electronic, time, real, oie",96,development  implementation   interoperable  interconnected linking public health  veterinary  example electronic real-time reporting system   integrated electronic early warning  response ewar system  automatically collect analyse  detect  abnormal occurrence   divergence   usual  normally observed frequency  phenomena  real time
3,Promote antibiotic stewardship,"sector, action, antimicrobial, resistance, antibiotic",93,design policy   delivery framework  promote sound antibiotic stewardship including m incentivizing  measuring prescriber compliance   antibiotic formulary m promoting antibiotic stewardship within programmes  continuing professional development  m communicating   public  reasonable expectation    prescribed antibiotics unless clearly indicated
12,Pathogen database,"facility, provide, pathogen, equipment, inventory",88,establish  updated database  facilities housing dangerous pathogens  toxins including identification  collected pathogens  toxins  nationwide survey  pakistan will conduct  identify stocks  polioviruses  infectious materials will provide  excellent opportunity  establish   database
46,Emergency resources,"level, resource, datum, financial, mobilization",88,update pheoc handbooksops  include activation levels  scaled levels  response  resource requirements   level  procedures  acquiring additional resources
14,Expand immunization delivery,"service, vaccine, outbreak, centre, vaccination",86,expand immunization service delivery  restore logistic  human resource infrastructure  order   establish vaccination centres  health facilities  currently   providing  service  rehabilitate services  union councils  lack vaccination staff   non-functioning epi centres  enhance capabilities  mobile  outreach vaccination establish robust systems  programme monitoring vpd surveillance  capacity  data management   levels  enable  performance accountability  validation  disbursement linked indicators dlis  systematic use  data  epi collected   polio eradication initiative  corrective actions  programme planning  prompt detection  response  vpd outbreaks monitoring   changing epidemiology  vpds  prevention  outbreaks systematically adapt  best practices  assets   polio eradication initiative  support epi  particular leveraging  building  monitoring disease surveillance  data management micro planning  ability  vaccinate children  areas   hard  reach   insecure engaging  mobilizing communities  vaccine hesitancy enhancing  case specimen transport system  laboratory testing  using  trained workforce
13,Workforce development,"workforce, strategy, development, create, multidisciplinary",77,create  multidisciplinary -hazards one health national public health workforce strategy  includes workforce    government  private institutions  workforce strategy  include staff recruitment training utilization  retention  rok may also consider creating  electronic roster   workforce   later integrated   joint utilization system  developed   mois ensure expanded inclusion  veterinarians  fetp  inclusion  additional disciplines  rrts within  strategy
43,Radiation emergency guidelines,"radiation, guideline, activity, radiological, concern",77,train health workers  strengthen  following capacities awareness diagnosis   radiation injury medical care  injured  contaminated patients  advanced clinical management  persons exposed  high-dose radiation acute radiation syndrome local injuries internal contamination combined injuries
26,Point-of-entry sanitation,"ensure, poes, measure, hospital, infectious",72,consider  paradigm shift   emphasis  measures  stop infectious diseases  poes  explore  public health measures  limit  impact  spread  imported infectious diseases specifically  rok may consider  following four public health measures ensure   hospitals  comprehensive hospital infection control measures  place   medical staff  trained  ask  overseas travel history   ill patients   families   emergency room    recognition   Ã¢â‚¬Å“point  entryÃ¢â‚¬Âù  infectious diseases   longer   border airport  seaport  rather Ã¢â‚¬Å“at  doorÃ¢â‚¬Âù   local hospital   travellers  become ill  arrival will seek medical care ensure  travellers  access  pre-travel health information vaccinations  necessary medications eg malaria prophylaxis   extent    met  current services    kcdc call centre  ensure  travellers  access  post-travel information        call   become ill  returning   trip   extent    met  current services maintain trained quarantine officials  major poes  respond  assess ill persons  board reported   captains  vessels ensure    rapid transportation systems  designated hospitals  hospitalization  warranted     sufficient information  identify  locate possible contacts  ill persons
48,Inter-ministry coordination,"ministry, sop, coordinate, agency, line",69,establish  inter-ministerial committee   implementation   indonesia nap  amr  ensure  systematic  comprehensive one health approach   comprise  coordinating minister  human development  culture  coordinating minister  politics law  security  ministry  health  ministry  agriculture  ministry  marine affairs  fishery  ministry  environment  forestry  ministry  defence  national agency  drug  food control  ministry  research technology  higher education  ministry  finance  ministry  communication  informatics   ministry  foreign affairs
5,Assess gaps ,"assessment, conduct, map, gap, adequate",66,given  individual exposure assessment   important tool  medical response  radiation emergencies explore  possibility   developing  establishing  following national capabilities  individual  vivo internal contamination monitoring capabilities ii bioassays   vitro assessment  internal contamination iii cytogenetic biodosimetry  addition international collaboration  highly experienced laboratories  terms  inter-comparison exercises  encouraged   ihr core capacities   united arab emirates
21,Coordinate with neighboring nations,"multisectoral, country, protocol, potential, operational",66,strengthen cross-border coordination communication  advocacy   neighbouring countries   countries   western african region
35,Train professions in field epidemiology,"implement, build, technical, epidemiology, field",65,proactively enrol professionals   animal health sector  field epidemiology  laboratory training programmes feltp  build technical leadership  managerial skills  national  subnational surveillance  health leadership basic intermediate  advanced feltp courses
39,Designate POEs,"role, designate, responsibility, detection, requirement",65,carry  consultations     requirements  poe designated  accordance  ihr indicator b  particular   determine  role  responsibilities provided   status  designated poe   verify whether  capacity  designated poe complies  eaeu agreements  core capacity requirements  accordance  ihr
41,AMR national plan,"amr, monitor, priority, analysis, evaluation",65,accelerate  finalization  adoption   national action plan  amr   implementation thereof taking  consideration  following priority actions m develop national plans  detection surveillance  monitoring  antimicrobial use  amr including assessment   need  establish  centralized information system  amr surveillance  monitoring m review  develop regulatory frameworks  appropriate management  antibiotic use  animals m conduct  national system  situation analysis  antimicrobial use  amr including consolidation  analysis  existing data  information  stakeholder analysis m based   information   system  situation analysis conduct awareness-raising activities among key priority stakeholders practitioners farmers regulators  antimicrobial use  amr encourage implementation  ipc practices   development  monitoring  evaluation m frameworks including sops  monitoring tools  will guide monitoring  evaluation  ipc programmes  health care facilities
33,Establish emergency fund,"establish, mechanism, fund, sustainable, biological",64,establish  emergency fund   clear mechanism  accessing  fund   case   emergency clear guidance  triggers  release  funds  monitoring  accountability processes  implementation  utilization  funds
44,Review existing laws,"exist, review, law, relate, require",64,qatar engages  significant efforts  conduct studies   endorse laws  decrees related  aspects   ihr eg law   regulation  monitoring  food intended  human consumption law    prevention  diseases law  related  animal health  law  related  quarantine
6,Multi-hazard disease surveillance,"hazard, base, multi, specific, set",59,establish  early warning component  disease surveillance systems urgently  setting  defining various base-line values  well  various alert thresholds  epidemic-prone diseases  analysing  trend   disease-specific health conditions  thresholds  baseline values will help  country  set triggers  informed public health actions   actions  pro actively warranted  protect public health   event   slowly  rapidly evolving threat
18,Document and review policies,"policy, legislation, framework, awareness, cross",53,document  publish administrative arrangements  policies  various sectors  order  encourage cross-sectoral collaboration   includes  ministries  health social affairs education  culture research technology  higher education religious affairs female empowerment  child protection villages disadvantaged regions  transmigration  youth  sports affairs   includes  ministries  home affairs foreign affairs defence law  human rights communication  informatics  administrative  bureaucratic reform  attorney general's office  national armed forces  national police   state intelligence agency   ihr core capacities   republic  indonesia
22,Surveillance capacity,"emergency, authority, idsr, competent, sustain",51,build technical capacity  surveillance including continuing training  idsr ihr  data management cliniciansÃ¢â‚¬â„¢ role  idsr  use  innovative technology  idsr
27,POE security,"relevant, security, entry, legal, define",49,conduct comprehensive assessment   points  entry  determine  resource needs  develop  sustainably funded action plan  strengthen ihr  obligations  points  entry designated points  entry   prioritized
50,PHEOC procedures,"procedure, function, operation, pheoc, structure",48,complete  gain moh approval   first edition   national level pheoc handbook see indicator r focusing  m  concept  operation   national  subnational pheocs relative   government eocs  include  roles  responsibilities  pheocs   national  subnational levels   explicit emergency management authorities   upon activation m  core ims structure   used   pheoc   tor     key positions m  strategic national risk assessment   associated framework   national multi-hazard public health preparedness  response plan see previous focus area  m  initial set  priority sops  watch-mode operations activation   pheoc  response mode operations
37,Regional training and collaboration,"coordination, collaboration, support, process, formalize",47,expand training   revised idsr technical guidelines  human health   notifiable disease  form  process  animal health   county  sub-county levels   next reporting period training  occur     counties  sub-counties
28,Regulatory legislation,"identify, standard, act, regulation, draft",46,review  legal  regulatory frameworks   veterinary services act  cap  community water  sanitation act  act    regulations governing ihr  hazards  ensure complementarity   public health act  act 
29,Incident management capacity,"management, finalize, key, strategic, evaluate",43,foresee  psychosocial  mental health impact   potential radiation emergency  largest impact  chernobyl  fukushima accidents   planning stage special arrangements   envisioned  mitigate psychological stress anxiety   mental health effects provision  timely clear  consistent information  populations prior     nuclear accident  key  minimizing  impact therefore establishment  community receptioninformation centres   essential part  planning  emergency response
16,Multi-method risk communication,"strengthen, rapid, private, partner, medium",42,maximize  use  social media eg whatsapp twitter facebook mobile phone tv radio print media  communications fora   religious organisations
47,Joint training,"programme, enhance, joint, regular, regional",42,enhance surveillance   one health approach ie conduct joint trainings  investigations  produce joint weekly bulletins
32,Port preparedness,"stakeholder, preparedness, regulatory, nuclear, port",39,establish animal quarantine space  poes sudan   quarantine spaces  animals   different poes including  states  monitor  movement trained veterinarians exist   quarantine spaces although      properly equipped  animal checkingtesting
34,Disaster response,"response, update, local, eoc, disaster",39,agencies  municipalities respectively  improve  update  national  local food  water borne emergency contingency plans     emergency situation outside office hours first responders know   contact contact lists     largest extent possible based   position rather   named individual national contingency plans  also acknowledge  possibility  outbreaks  demand extensive resources  updated plan   tested  simulation exercises 
20,Comprehensive national health policy,"national, epr, recommendation, research, institute",38,develop  national one health policy  guide  support implementation   one health approach  national  sub-national levels  policy will establish legalregulatory structures  funding mechanisms  one health activities  national  sub-national level
8,Veterinary service,"veterinary, approach, expand, government, address",36,expand   draft  national public health emergency preparedness  response plan  incorporate  resulting prioritized national public health threats infectious disease threats  well   ihr-specified threats  health using  national planning approach   appropriate  acceptable across stakeholder ministries  government agencies  responsibilities   threat areas
1,Fight priority zoonotic diseases,"develop, integrate, zoonosis, take, account",26,formalize  regulation  appointment   national focal point rsi taking  account   composition   different domains   rsi  health agriculture breeding trade industry security  transport
31,Health strategy body,"include, involve, body, effective, detect",21,establish  one health strategy development  implementation body   led   health sector  entity  also serve   technical advisory body  ndma  bridge  existing chasm  ndma   public health goals  objectives